"{4.526, 4.676}","{1.425, 2.338}","{1.571, 2.266}","{2.721, 5.077}","{2.503, 1.978}","{2.079, 2.405}",,
"{1.855, 2.752}","{2.028, 1.989}","{2.385, 2.403}","{1.782, 3.067}","{1.386, 1.764}","{2.458, 2.815}",,
"{2.356, 2.947}","{2.542, 2.423}","{1.488, 1.591}","{1.959, 2.744}","{1.642, 2.260}","{3.489, 3.335}",,
"{4.383, 6.134}","{1.938, 1.913}","{1.29, 1.987}","{3.378, 3.267}","{1.932, 2.11}","{1.607, 2.949}",,
"{1.861, 3.7}","{1.97, 2.194}","{1.534, 1.981}","{2.147, 3.566}","{1.681, 2.203}","{1.961, 2.578}",,
,,,,,,,
,,,,,,,
,,,,,,, 
"{4.526, 4.676}","{1.855, 2.752}","{2.356, 2.947}","{4.383, 6.134}","{1.861, 3.7}",,,
"{1.425, 2.338}","{2.028, 1.989}","{2.542, 2.423}","{1.938, 1.913}","{1.97, 2.194}",,,
"{1.571, 2.266}","{2.385, 2.403}","{1.488, 1.591}","{1.29, 1.987}","{1.534, 1.981}",,,
"{2.721, 5.077}","{1.782, 3.067}","{1.959, 2.744}","{3.378, 3.267}","{2.147, 3.566}",,,
"{2.503, 1.978}","{1.386, 1.764}","{1.642, 2.260}","{1.932, 2.11}","{1.681, 2.203}",,,
"{2.079, 2.405}","{2.458, 2.815}","{3.489, 3.335}","{1.607, 2.949}","{1.961, 2.578}",,,
